tps,latency,quantile
99.95755298,183.8719,p50
99.95755298,215.0141,p90
99.95755298,224.5381,p95
99.95755298,228.5915,p99
199.5957882,158.2805,p50
199.5957882,188.1245,p90
199.5957882,203.3531,p95
199.5957882,233.4881,p99
299.3549446,106.0703,p50
299.3549446,127.9816,p90
299.3549446,141.6421,p95
299.3549446,171.2428,p99
399.6750346,103.77,p50
399.6750346,118.8069,p90
399.6750346,123.4118,p95
399.6750346,135.1269,p99
498.8455099,101.0395,p50
498.8455099,113.6369,p90
498.8455099,117.0698,p95
498.8455099,126.1263,p99
599.1338059,99.4409,p50
599.1338059,116.2531,p90
599.1338059,120.1884,p95
599.1338059,127.2045,p99
697.7517698,98.4534,p50
697.7517698,110.4756,p90
697.7517698,113.8477,p95
697.7517698,114.962,p99
798.278275,98.4546,p50
798.278275,108.5502,p90
798.278275,110.9448,p95
798.278275,128.2769,p99
898.914593,99.933,p50
898.914593,111.8348,p90
898.914593,114.9668,p95
898.914593,115.9514,p99
998.2418844,100.6293,p50
998.2418844,112.1189,p90
998.2418844,114.3541,p95
998.2418844,120.4738,p99
1098.114599,102.5789,p50
1098.114599,113.3007,p90
1098.114599,115.3333,p95
1098.114599,128.2164,p99
1198.249042,102.4346,p50
1198.249042,112.308,p90
1198.249042,114.237,p95
1198.249042,121.7031,p99
1297.778737,102.9687,p50
1297.778737,112.7351,p90
1297.778737,114.6189,p95
1297.778737,122.6015,p99
1397.785525,103.3255,p50
1397.785525,113.2178,p90
1397.785525,115.168,p95
1397.785525,122.4585,p99
1497.394578,102.8795,p50
1497.394578,112.5811,p90
1497.394578,114.3887,p95
1497.394578,147.1215,p99
1597.12403,101.7835,p50
1597.12403,113.4525,p90
1597.12403,115.9389,p95
1597.12403,136.2999,p99
1697.015916,101.8432,p50
1697.015916,115.7618,p90
1697.015916,119.1175,p95
1697.015916,139.8412,p99
1798.135265,100.7249,p50
1798.135265,115.1864,p90
1798.135265,118.5271,p95
1798.135265,132.8365,p99
1896.915566,100.2555,p50
1896.915566,118.7458,p90
1896.915566,123.2654,p95
1896.915566,141.8356,p99
1996.754061,101.5703,p50
1996.754061,120.9157,p90
1996.754061,124.9897,p95
1996.754061,148.619,p99
2093.771591,101.1636,p50
2093.771591,122.2773,p90
2093.771591,126.0687,p95
2093.771591,144.3258,p99
2201.553669,334.2084,p50
2201.553669,552.4058,p90
2201.553669,595.5634,p95
2201.553669,749.8765,p99
2282.434823,1657.4816,p50
2282.434823,1904.412,p90
2282.434823,1993.7507,p95
2282.434823,2059.2704,p99
2379.577394,2110.0772,p50
2379.577394,2470.7115,p90
2379.577394,2568.8096,p95
2379.577394,2724.7677,p99
