tps,latency,quantile
99.3059726890076,137.93843501609928,p50
99.3059726890076,142.5090197224943,p90
99.3059726890076,144.62921135022307,p95
99.3059726890076,148.77562939811872,p99
203.36778615395568,168.37723409574397,p50
203.36778615395568,172.43429222694195,p90
203.36778615395568,174.39190809140274,p95
203.36778615395568,178.19474950919957,p99
301.7477034261705,181.98312148736062,p50
301.7477034261705,186.20954833500969,p90
301.7477034261705,188.02946465600365,p95
301.7477034261705,191.96392418313684,p99
400.1550887848886,200.45772770407768,p50
400.1550887848886,204.24544010463953,p90
400.1550887848886,206.51600350638157,p95
400.1550887848886,210.56632135064743,p99
501.3128022231404,216.2145193208221,p50
501.3128022231404,222.98825138857205,p90
501.3128022231404,226.72422619279047,p95
501.3128022231404,234.06072472447337,p99
600.5105222991574,220.70414027377993,p50
600.5105222991574,228.21276907204967,p90
600.5105222991574,232.301352483438,p95
600.5105222991574,239.8203240862815,p99
697.3550332405986,224.08729508522654,p50
697.3550332405986,251.38393844626228,p90
697.3550332405986,255.22779832080758,p95
697.3550332405986,283.1215617206982,p99
800.7871370810223,208.19644005560815,p50
800.7871370810223,245.59487894137308,p90
800.7871370810223,250.04568727765312,p95
800.7871370810223,316.64271551679417,p99
898.1898874129247,234.26326138437517,p50
898.1898874129247,252.9231889417062,p90
898.1898874129247,256.7669141215727,p95
898.1898874129247,287.1490287647232,p99
999.4174368471876,241.17660978792173,p50
999.4174368471876,268.4455602384442,p90
999.4174368471876,272.02549607821885,p95
999.4174368471876,321.24193795351005,p99
1098.9106675344403,278.2363399191008,p50
1098.9106675344403,318.04201445824,p90
1098.9106675344403,323.02848013163236,p95
1098.9106675344403,402.9549771205525,p99
1200.035392494169,332.5969325121163,p50
1200.035392494169,350.309606731755,p90
1200.035392494169,360.1172870915423,p95
1200.035392494169,382.55387119728186,p99
1299.455365762064,418.5683159916422,p50
1299.455365762064,433.8845830478264,p90
1299.455365762064,444.5413375705892,p95
1299.455365762064,473.09272262106674,p99
1400.063234937834,508.72009540227,p50
1400.063234937834,539.356854571268,p90
1400.063234937834,574.0849705395506,p95
1400.063234937834,712.6321846848567,p99
1498.3444896059875,842.7269546313137,p50
1498.3444896059875,1047.7529965068939,p90
1498.3444896059875,1093.1813533342183,p95
1498.3444896059875,1272.0236657193248,p99
