tps,latency,quantile
100.18530597391162,99.04041538919292,p50
100.18530597391162,107.45493252477401,p90
100.18530597391162,111.95022371952697,p95
100.18530597391162,121.21382573221695,p99
197.76740856064512,98.95989321298462,p50
197.76740856064512,107.84793541789172,p90
197.76740856064512,111.90987127243085,p95
197.76740856064512,119.90445229680832,p99
298.9842577306164,102.97367976911126,p50
298.9842577306164,112.31541490139419,p90
298.9842577306164,116.42960295564318,p95
298.9842577306164,127.36349120493647,p99
399.97994615634957,114.06341026183743,p50
399.97994615634957,117.37436004746978,p90
399.97994615634957,123.48193235389456,p95
399.97994615634957,137.8986367449323,p99
500.16493942519503,94.1636498341756,p50
500.16493942519503,108.24448507954774,p90
500.16493942519503,112.42424795582899,p95
500.16493942519503,116.78330237457678,p99
602.3188593471008,95.5002555519247,p50
602.3188593471008,101.07677459023232,p90
602.3188593471008,107.61517318344377,p95
602.3188593471008,115.63279408331049,p99
699.1831749920419,105.2924394732068,p50
699.1831749920419,112.90534267782135,p90
699.1831749920419,119.78958467700684,p95
699.1831749920419,129.35286277093002,p99
801.5352354515165,99.98312802640211,p50
801.5352354515165,113.00204650796536,p90
801.5352354515165,117.8910310265768,p95
801.5352354515165,129.23571363798303,p99
900.5450362679943,95.27872753685921,p50
900.5450362679943,110.13021971720357,p90
900.5450362679943,113.6315236923567,p95
900.5450362679943,116.70093985702927,p99
1000.3265603521453,82.54155794506913,p50
1000.3265603521453,85.67325563846887,p90
1000.3265603521453,91.30735287239813,p95
1000.3265603521453,97.4471102556858,p99
1101.851626626665,81.57064170214035,p50
1101.851626626665,92.50509996710753,p90
1101.851626626665,96.8901126704207,p95
1101.851626626665,105.32001192154151,p99
1202.2918574735077,84.53876493638705,p50
1202.2918574735077,100.30792852049052,p90
1202.2918574735077,106.52119054512063,p95
1202.2918574735077,121.92017794394722,p99
1296.6570262842242,107.4380075103229,p50
1296.6570262842242,126.89528402015749,p90
1296.6570262842242,134.12159077431994,p95
1296.6570262842242,164.35163491227894,p99
1400.9941892894913,97.8323508212034,p50
1400.9941892894913,120.86574627233048,p90
1400.9941892894913,131.00812086899586,p95
1400.9941892894913,150.65012948015664,p99
1498.93144858012,113.70242519255282,p50
1498.93144858012,130.47344341657657,p90
1498.93144858012,139.58139703379928,p95
1498.93144858012,159.5650882106306,p99
1596.4155979440825,106.45078676639504,p50
1596.4155979440825,124.53458157166999,p90
1596.4155979440825,134.8727292441331,p95
1596.4155979440825,152.03269446445026,p99
1699.8331975884962,95.16443643646993,p50
1699.8331975884962,117.38470548274006,p90
1699.8331975884962,126.72821171015804,p95
1699.8331975884962,144.18797467374728,p99
1795.7132444651807,191.58964543922983,p50
1795.7132444651807,214.6804688966697,p90
1795.7132444651807,225.34411288762504,p95
1795.7132444651807,251.855911776781,p99
1897.7009814218247,182.78016985803814,p50
1897.7009814218247,202.33657071965752,p90
1897.7009814218247,212.99912731410856,p95
1897.7009814218247,236.41126056965078,p99
1999.3154863030798,221.8233603415635,p50
1999.3154863030798,246.08628986464998,p90
1999.3154863030798,258.8646925071185,p95
1999.3154863030798,273.0196949653764,p99
2252.1504449173685,249.06072581989824,p50
2252.1504449173685,266.1134439796251,p90
2252.1504449173685,276.84524355741377,p95
2252.1504449173685,295.4352956080293,p99
2498.652834904342,197.66608695244454,p50
2498.652834904342,216.50036120048944,p90
2498.652834904342,226.9406564109445,p95
2498.652834904342,244.52981367208665,p99
2745.3570248049937,289.36590578699764,p50
2745.3570248049937,314.15078631575267,p90
2745.3570248049937,328.7144868794428,p95
2745.3570248049937,360.12814476400644,p99
2998.228209481599,251.9054867452035,p50
2998.228209481599,318.62466432486053,p90
2998.228209481599,336.11771026775585,p95
2998.228209481599,389.5912935006619,p99
3251.9690143569846,269.2143755379853,p50
3251.9690143569846,297.1170500928173,p90
3251.9690143569846,310.31028326288947,p95
3251.9690143569846,338.78932672742513,p99
3501.902817337728,315.3210160693513,p50
3501.902817337728,347.4959338786008,p90
3501.902817337728,361.8785931704969,p95
3501.902817337728,398.88297070248797,p99
3747.976579440767,341.1910516492179,p50
3747.976579440767,373.4315075560478,p90
3747.976579440767,387.57765591328666,p95
3747.976579440767,414.8078037859104,p99
3997.976021495613,350.76906246690714,p50
3997.976021495613,422.1330695595013,p90
3997.976021495613,436.4163053443689,p95
3997.976021495613,486.1716972614562,p99
4249.697210505069,410.3033201124933,p50
4249.697210505069,443.23212686573993,p90
4249.697210505069,457.16493490139,p95
4249.697210505069,487.4501270733865,p99
4500.828457790044,400.5537799834988,p50
4500.828457790044,431.68584239122964,p90
4500.828457790044,448.1078297535634,p95
4500.828457790044,482.740557975069,p99
4750.359808147534,508.0354159366972,p50
4750.359808147534,543.4148463151911,p90
4750.359808147534,558.9133099064968,p95
4750.359808147534,601.8073471127833,p99
5001.47188163629,486.1658088173298,p50
5001.47188163629,531.4316200982053,p90
5001.47188163629,548.2731117741257,p95
5001.47188163629,595.9849079727351,p99
