tps,latency,quantile
500.3040428543292,132.07109564259164,p50
500.3040428543292,166.2337653524187,p90
500.3040428543292,183.93138682105507,p95
500.3040428543292,209.864732924537,p99
996.3318067618851,174.71357428932706,p50
996.3318067618851,201.32017313080212,p90
996.3318067618851,218.46254907435704,p95
996.3318067618851,251.33139891905108,p99
1501.218080432336,169.50442593840884,p50
1501.218080432336,201.74379903625345,p90
1501.218080432336,217.14520142974123,p95
1501.218080432336,242.12927418272784,p99
1996.6934865620788,450.39713454244367,p50
1996.6934865620788,472.72046525934877,p90
1996.6934865620788,488.28922384375045,p95
1996.6934865620788,517.3764243082892,p99
2502.572699964097,430.22674181777825,p50
2502.572699964097,466.10642480505555,p90
2502.572699964097,481.6381585702654,p95
2502.572699964097,510.26348600382084,p99
3000.732397013424,459.0600351321776,p50
3000.732397013424,487.0874659015873,p90
3000.732397013424,502.74761786100817,p95
3000.732397013424,532.3669423659612,p99
3502.664294227007,471.7132458334627,p50
3502.664294227007,504.20765106683905,p90
3502.664294227007,520.5028506000394,p95
3502.664294227007,552.5560261480884,p99
4001.8209487824265,520.9929662540502,p50
4001.8209487824265,560.7124131696252,p90
4001.8209487824265,575.3703076282378,p95
4001.8209487824265,624.9080598360217,p99
4498.2726879812235,542.3729441402725,p50
4498.2726879812235,566.0734241383802,p90
4498.2726879812235,576.9136057073842,p95
4498.2726879812235,614.996263486516,p99
5003.08740093765,520.22834444641416,p50
5003.08740093765,571.5909858797702,p90
5003.08740093765,585.2938185729166,p95
5003.08740093765,630.000140158969,p99
